"Advanced Compare information","Информация об Advanced Compare"
"Support by support@etwebsolutions.com<br/>You can hire our team to customize this extension to your theme. Write to sales@etwebsolutions.com","Поддержка - support@etwebsolutions.com<br/>Вы можете нанять нашу команду для изменения этого модуля под вашу тему. Пишите на sales@etwebsolutions.com"
"Remove Compare Options","Удаление сравнения. Параметры"
"Remove Compare function","Удалить функцию сравнения"
"If Yes - Removes all Add to compare links and compare blok left or right.","Если Да - будут скрыты все ссылки Добавить в сравнение и блок со списком товаров для сравнения слева или справа."
"Remove selected links","Удалить выбранные ссылки"
"If Yes - Add to compare link will be removed for products with attribute remove_compare_link=Yes","Если Да - будут скрыты ссылки Добавить в сравнение для товаров, у которых значение атрибута remove_compare_link=Да"
"Compare No Reload Options","Сравнение без перезагрузки (AJAX). Параметры"
"Enable No Reload function","Включить Сравнение без перезагрузки"
"If Yes - add to compare, remove from compare and clear compare list will work without reloading page.","Если Да - функции Добавить в сравнение, Удалить из сравнения и очистить список сравнения будут работать без перезагрузки страницы."
"Compare Popup Window Options","Окно сравнения товаров. Параметры"
"Replace Popup template","Заменить шаблон сравнения"
"If Yes - advanced template will be used. Added ability to hide attributes that does not differs.","Если Да - будет использоваться расширенный шаблон сравнения товаров. Особенность - возможность скрывать атрибуты, значения которых не отличаются."
"Show similar rows","Показывать совпадающие параметры"
"Show label after","Показывать названия атрибутов после"
"Shows attribute labels after X products. Default: 3.","Показывает колонку с названиями атрибутов после каждых Х товаров. По умолчанию: 3."
"Sort attributes","Сортировать атрибуты"
"If Yes - attributes in compare window will be sorted like in attribute set (in some Magento versions there is no sorting by default).","Если Да - атрибуты в окне сравнения будут отсортированы как в наборе атрибутов (в некоторых версиях Мадженто сортировка отсутствует)."
"Limit product comparison","Ограничение списка сравнения"
"Limit amount of compared products","Ограничить кол-во товаров в списке"
"Maximal amount of products to compare","Максимальное кол-во товаров в списке"
"Is used, if ""Limit amount of compared products"" is set to Yes","Работает только при включённом параметре ""Ограничить кол-во товаров в списке"""
"You have reached a maximal amount (%s) of products to compare simultaneously","Список сравнения ограничен. Максимальное количество товаров в списке (%s)"

"Extension:","Модуль:"
"<strong>%s</strong> (version %s)","<strong>%s</strong> (версия %s)"
"License:","Лицензия:"
"Short Description:","Краткое описание:"
"Documentation:","Документация:"
"Support:","Поддержка:"
"Advertisement:","Реклама:"
"You can see description of extension features and answers to the frequently asked questions on <a href=""%s"" target=""_balnk"">our website</a>.","Описание возможностей модуля и ответы на часто задаваемые вопросы смотрите на <a href=""%s"" target=""_balnk"">нашем сайте</a>."
"You can hire our team to customize the extension. E-mail us on sales@etwebsolutions.com.<br><br>You can see a list of provided services on <a href=""%s"" target=""_blank"">our website</a>.","Вы можете нанять нашу команду для любых работ по модификации модуля. Пишите на адрес sales@etwebsolutions.com.<br><br>Со списком предоставляемых нами услуг вы можете ознакомиться <a href=""%s"" target=""_blank"">на нашем сайте</a>."
"Extension support is available through <a href=""%s"" target=""_blank"">issue tracking system</a>.<br>You can see information freely, but you will have to sign up to open a ticket.<br><br>Please, report all bugs and feature requests that are related to this extension.<br><br>If by some reason you can not submit a question, bug report or feature request to our ticket system, you can write us an email - support@etwebsolutions.com.","Поддержка модуля осуществляется через <a href=""%s"" target=""_blank"">систему отслеживания заданий</a>.<br>Для создания задачи будет необходимо зарегистрироваться. Для просмотра информации регистрация не требуется.<br><br>Пожалуйста, сообщайте нам о найденных ошибках и о своих пожеланиях в рамках этого модуля.<br><br>Если по каким-либо причинам вы не можете размеситить вопрос/сообщение об ошибке/пожелание в списке задач, то можете написать нам по адресу support@etwebsolutions.com."
"Please enable cookies in your web browser to continue.","Пожалуйста включите cookies в вашем веб-бразуере, чтобы продолжить."
